Ano;Mes;Codigo distrito;Codigo zona;Nit cliente;Nombre cliente;Codigo tipo;Codigo linea;Codigo grupo;Codigo calidad;Gerente;Linea CAM;Ventas;Costo;Codigo distrito-zona;Margen;Anomaly;Anomaly_Score
2023;1;10;7;830005165;INDUPRINT SAS                           ;160;162;120;416;Offset;Planchas;3239262;2546958;10-7;692304;1;0,02580995225366478
2023;1;10;13;900012435;DS PUBLICIDAD SAS                       ;235;103;144;326;Elementos de Proteccion Personal;Proteccion personal;21040;25960;10-13;-4920;1;0,02351307430962013
2023;1;10;18;900488618;DALAMA SOLUCIONES INTEGRALES S.A.S      ;101;1;1;1;Papel para escritura;Bond;2287008;1713882;10-18;573126;1;0,04168556757249137
2023;1;10;18;900488618;DALAMA SOLUCIONES INTEGRALES S.A.S      ;101;1;1;41;Papel para escritura;Esmaltado;4773504;4398428;10-18;375076;1;0,05520420323846703
2023;1;10;19;830137526;POLIEMPAK SAS                           ;160;192;304;202;Resinas;Resinas;180000000;241712784;10-19;-61712784;1;0,03229818365049292
2023;1;10;62;890903858;INDUSTRIA NACIONAL DE GASEOSAS S.A      ;201;20;1;60;Resmilla;Resmilla - Reprograf;104651500;89253724;10-62;15397776;1;0,0239868712750686
2023;1;10;70;901354361;PARTNERS TELECOM COLOMBIA S.A.S         ;301;7;2;296;PPD;PPD;16895099;5322072;10-70;11573027;1;0,023070388949334886
2023;1;10;77;900637254;PAPERCHOICE S.A.S.                      ;125;1;33;430;Papeles especiales;Papel Quimico;8063853;6057867;10-77;2005986;1;0,020042638465596674
2023;1;10;81;860512330;SERVIENTREGA S.A.                       ;180;166;240;534;Comunicacion visual;Sustratos de linea;78683718;67293838;10-81;11389880;1;0,02024174820161917
2023;1;20;60;890300279;BANCO DE OCCIDENTE S.A.                 ;301;6;2;344;PPD;PID;5042674;4501847;20-60;540827;1;0,021859902104322704
2023;1;20;60;890300279;BANCO DE OCCIDENTE S.A.                 ;301;6;2;345;PPD;PID;17960744;15416327;20-60;2544417;1;0,02406191611002445
2023;1;20;63;890302849;TRANSPORTES EXPRESO PALMIRA S.A.        ;215;117;66;170;Prodispel;Rollos especiales;23596800;26116677;20-63;-2519877;1;0,024967974704460882
2023;1;40;9;890932678;ETIFLEX S.A.S                           ;160;165;200;7;Flexografia;Flexografia;80826154;32067158;40-9;48758996;1;0,02725383957497346
2023;1;55;4;901140179;INVERSIONES DUQUIN S.A.S.               ;110;1;30;155;Periodico;Periodico;4025117;2521031;55-4;1504086;1;0,032573897253352024
2023;1;65;66;900080956;AGUAS KPITAL CUCUTA S.A. ESP            ;301;6;2;347;PPD;PID;21965678;18785701;65-66;3179977;1;0,030755666552327088
2023;1;71;64;800202395;EFIGAS GAS NATURAL S.A. E.S.P           ;301;6;2;347;PPD;PID;39067158;50857745;71-64;-11790586;1;0,04025476431357672
2023;1;71;64;890801007;EMPRESA MUNICIPAL PARA LA SALUD         ;224;214;66;325;Prodispel;Documentos valor;76560000;44384000;71-64;32176000;1;0,05113514449492118
2023;1;20;62;800070655;MAQUITE S.A.                            ;215;117;66;170;Prodispel;Rollos especiales;16747200;16280276;20-62;466924;1;0,0359156702445767
2023;1;52;13;901084883;ALIANZA SURTIDORA S.A.S.                ;215;116;66;170;Prodispel;Rollos de linea;5940450;3156899;52-13;2783551;1;0,025580793407788405
2023;1;45;50;64569939;SALAZAR MARIN YAMILE                    ;101;1;1;41;Papel para escritura;Esmaltado;14316345;12396635;45-50;1919710;1;0,020840092421919254
2023;1;45;50;64569939;SALAZAR MARIN YAMILE                    ;125;1;33;430;Papeles especiales;Papel Quimico;2341504;1643228;45-50;698276;1;0,021563728182243058
2023;1;45;50;64569939;SALAZAR MARIN YAMILE                    ;125;1;33;441;Papeles especiales;Papel Quimico;3059019;2157990;45-50;901029;1;0,02446285852721758
