Codigo producto;Gerente;Linea CAM
1;Outsourcing de proveeduria;Outsourcing de proveeduria
2;Prodispel;Rollos especiales
3;Outsourcing de proveeduria;Outsourcing de proveeduria
4;Outsourcing de proveeduria;Outsourcing de proveeduria
5;Outsourcing de proveeduria;Outsourcing de proveeduria
6;Outsourcing de proveeduria;Outsourcing de proveeduria
7;Outsourcing de proveeduria;Outsourcing de proveeduria
8;Outsourcing de proveeduria;Outsourcing de proveeduria
9;Outsourcing de proveeduria;Outsourcing de proveeduria
10;Papel para escritura;Bond
12;Comunicacion visual;Otros
13;Comunicacion visual;Sustratos de linea
11;Comunicacion visual;Otros
14;Comunicacion visual;Otros
16;Comunicacion visual;Otros
18;Outsourcing de proveeduria;Outsourcing de proveeduria
19;Outsourcing de proveeduria;Outsourcing de proveeduria
15;Papel para escritura;Bond
21;Aseo - Kimberly;Kimberly
22;Outsourcing de proveeduria;Outsourcing de proveeduria
23;Outsourcing de proveeduria;Outsourcing de proveeduria
17;Outsourcing de proveeduria;Outsourcing de proveeduria
24;Outsourcing de proveeduria;Outsourcing de proveeduria
26;Outsourcing de proveeduria;Outsourcing de proveeduria
27;Outsourcing de proveeduria;Outsourcing de proveeduria
28;Outsourcing de proveeduria;Outsourcing de proveeduria
20;Papel para escritura;Bond
29;Outsourcing de proveeduria;Outsourcing de proveeduria
30;Papel para escritura;Bond
31;Outsourcing de proveeduria;Outsourcing de proveeduria
32;Outsourcing de proveeduria;Outsourcing de proveeduria
33;Outsourcing de proveeduria;Outsourcing de proveeduria
34;Outsourcing de proveeduria;Outsourcing de proveeduria
35;Papel para escritura;Bond
25;Papel para escritura;Bond
36;Outsourcing de proveeduria;Outsourcing de proveeduria
37;Outsourcing de proveeduria;Outsourcing de proveeduria
38;Outsourcing de proveeduria;Outsourcing de proveeduria
39;Outsourcing de proveeduria;Outsourcing de proveeduria
41;Outsourcing de proveeduria;Outsourcing de proveeduria
42;Outsourcing de proveeduria;Outsourcing de proveeduria
43;Outsourcing de proveeduria;Outsourcing de proveeduria
44;Outsourcing de proveeduria;Outsourcing de proveeduria
45;Outsourcing de proveeduria;Outsourcing de proveeduria
46;Outsourcing de proveeduria;Outsourcing de proveeduria
47;Outsourcing de proveeduria;Outsourcing de proveeduria
48;Outsourcing de proveeduria;Outsourcing de proveeduria
49;Outsourcing de proveeduria;Outsourcing de proveeduria
50;Papel para escritura;Bond
51;Papel para escritura;Bond
52;Outsourcing de proveeduria;Outsourcing de proveeduria
54;Comunicacion visual;Otros
55;Comunicacion visual;Otros
40;Papel para escritura;Bond
56;Comunicacion visual;Otros
57;Comunicacion visual;Otros
58;Comunicacion visual;Otros
59;Outsourcing de proveeduria;Outsourcing de proveeduria
61;Outsourcing de proveeduria;Outsourcing de proveeduria
62;Outsourcing de proveeduria;Outsourcing de proveeduria
63;Outsourcing de proveeduria;Outsourcing de proveeduria
64;Outsourcing de proveeduria;Outsourcing de proveeduria
65;Outsourcing de proveeduria;Outsourcing de proveeduria
66;Outsourcing de proveeduria;Outsourcing de proveeduria
67;Outsourcing de proveeduria;Outsourcing de proveeduria
68;Outsourcing de proveeduria;Outsourcing de proveeduria
69;Outsourcing de proveeduria;Outsourcing de proveeduria
71;Outsourcing de proveeduria;Outsourcing de proveeduria
72;Outsourcing de proveeduria;Outsourcing de proveeduria
53;Comunicacion visual;Otros
73;Outsourcing de proveeduria;Outsourcing de proveeduria
74;Outsourcing de proveeduria;Outsourcing de proveeduria
75;Outsourcing de proveeduria;Outsourcing de proveeduria
76;Outsourcing de proveeduria;Outsourcing de proveeduria
77;Outsourcing de proveeduria;Outsourcing de proveeduria
78;Outsourcing de proveeduria;Outsourcing de proveeduria
79;Outsourcing de proveeduria;Outsourcing de proveeduria
60;Papel para escritura;Bond
82;Otros Comunicacion grafica;Otros Comunicacion grafica
84;Tecnologia Institucional;Tecnologia institucional
85;Tecnologia Institucional;Tecnologia institucional
86;Tecnologia Institucional;Tecnologia institucional
87;Offset;Consumibles
88;Tecnologia Institucional;Tecnologia institucional
89;Tecnologia Institucional;Tecnologia institucional
91;Tecnologia Institucional;Tecnologia institucional
92;Tecnologia Institucional;Tecnologia institucional
93;Tecnologia Institucional;Tecnologia institucional
94;Tecnologia Institucional;Tecnologia institucional
70;Papel para escritura;Bond
95;Tecnologia Institucional;Tecnologia institucional
96;Tecnologia Institucional;Tecnologia institucional
97;Tecnologia Institucional;Tecnologia institucional
98;Tecnologia Institucional;Tecnologia institucional
99;Tecnologia Institucional;Tecnologia institucional
100;No aplica;Otros ingresos
101;Tecnologia Institucional;Tecnologia institucional
102;Tecnologia Institucional;Tecnologia institucional
103;Tecnologia Institucional;Tecnologia institucional
104;Tecnologia Institucional;Tecnologia institucional
105;Tecnologia Institucional;Tecnologia institucional
80;Outsourcing de proveeduria;Outsourcing de proveeduria
106;Tecnologia Institucional;Tecnologia institucional
107;Tecnologia Institucional;Tecnologia institucional
81;Otros Comunicacion grafica;Otros Comunicacion grafica
108;Tecnologia Institucional;Tecnologia institucional
109;Outsourcing de proveeduria;Outsourcing de proveeduria
110;Outsourcing de proveeduria;Outsourcing de proveeduria
111;Outsourcing de proveeduria;Outsourcing de proveeduria
83;Otros Comunicacion grafica;Otros Comunicacion grafica
113;Outsourcing de proveeduria;Outsourcing de proveeduria
115;Tecnologia Institucional;Tecnologia institucional
117;Tecnologia Institucional;Tecnologia institucional
121;Comunicacion visual;Sustratos de linea
123;Outsourcing de proveeduria;Outsourcing de proveeduria
125;Tecnologia Institucional;Tecnologia institucional
126;Tecnologia Institucional;Tecnologia institucional
127;Tecnologia Institucional;Tecnologia institucional
128;Tecnologia Institucional;Tecnologia institucional
129;Tecnologia Institucional;Tecnologia institucional
130;Tecnologia Institucional;Tecnologia institucional
131;Tecnologia Institucional;Tecnologia institucional
90;Papel para escritura;Bond
132;Tecnologia Institucional;Tecnologia institucional
133;Tecnologia Institucional;Tecnologia institucional
134;Tecnologia Institucional;Tecnologia institucional
135;Tecnologia Institucional;Tecnologia institucional
136;Tecnologia Institucional;Tecnologia institucional
137;Tecnologia Institucional;Tecnologia institucional
138;Tecnologia Institucional;Tecnologia institucional
139;Tecnologia Institucional;Tecnologia institucional
140;Tecnologia Institucional;Tecnologia institucional
141;Tecnologia Institucional;Tecnologia institucional
142;Tecnologia Institucional;Tecnologia institucional
143;Tecnologia Institucional;Tecnologia institucional
144;Tecnologia Institucional;Tecnologia institucional
145;Tecnologia Institucional;Tecnologia institucional
146;Tecnologia Institucional;Tecnologia institucional
147;Tecnologia Institucional;Tecnologia institucional
148;Tecnologia Institucional;Tecnologia institucional
149;Tecnologia Institucional;Tecnologia institucional
150;No aplica;Otros ingresos
151;Tecnologia Institucional;Tecnologia institucional
152;Tecnologia Institucional;Tecnologia institucional
153;Tecnologia Institucional;Tecnologia institucional
154;Comunicacion visual;Tintas
155;Tecnologia Institucional;Tecnologia institucional
156;Aseo - Kimberly;Kimberly
157;Aseo - Kimberly;Kimberly
158;Aseo - Kimberly;Kimberly
159;Tecnologia Institucional;Tecnologia institucional
160;Tecnologia Institucional;Tecnologia institucional
161;Tecnologia Institucional;Tecnologia institucional
162;Tecnologia Institucional;Tecnologia institucional
163;Tecnologia Institucional;Tecnologia institucional
164;Tecnologia Institucional;Tecnologia institucional
165;Tecnologia Institucional;Tecnologia institucional
166;Tecnologia Institucional;Tecnologia institucional
167;Tecnologia Institucional;Tecnologia institucional
168;Tecnologia Institucional;Tecnologia institucional
169;Tecnologia Institucional;Tecnologia institucional
170;Tecnologia Institucional;Tecnologia institucional
112;Papel para escritura;Bond
171;Tecnologia Institucional;Tecnologia institucional
172;Tecnologia Institucional;Tecnologia institucional
173;Tecnologia Institucional;Tecnologia institucional
114;Papel para escritura;Bond
174;Tecnologia Institucional;Tecnologia institucional
175;Tecnologia Institucional;Tecnologia institucional
176;Tecnologia Institucional;Tecnologia institucional
177;Tecnologia Institucional;Tecnologia institucional
116;Papel para escritura;Bond
178;Tecnologia Institucional;Tecnologia institucional
179;Tecnologia Institucional;Tecnologia institucional
180;Papel para escritura;Bond
181;Tecnologia Institucional;Tecnologia institucional
118;Papel para escritura;Bond
182;Tecnologia Institucional;Tecnologia institucional
183;Tecnologia Institucional;Tecnologia institucional
119;Papel para escritura;Bond
184;Tecnologia Institucional;Tecnologia institucional
185;Tecnologia Institucional;Tecnologia institucional
120;Papel para escritura;Bond
186;Tecnologia Institucional;Tecnologia institucional
187;Tecnologia Institucional;Tecnologia institucional
188;Tecnologia Institucional;Tecnologia institucional
122;Papel para escritura;Bond
189;Tecnologia Institucional;Tecnologia institucional
190;Tecnologia Institucional;Tecnologia institucional
124;Papel para escritura;Bond
191;Tecnologia Institucional;Tecnologia institucional
192;Tecnologia Institucional;Tecnologia institucional
193;Tecnologia Institucional;Tecnologia institucional
194;Tecnologia Institucional;Tecnologia institucional
195;Tecnologia Institucional;Tecnologia institucional
196;Tecnologia Institucional;Tecnologia institucional
197;Tecnologia Institucional;Tecnologia institucional
198;Tecnologia Institucional;Tecnologia institucional
199;Tecnologia Institucional;Tecnologia institucional
200;No aplica;Otros ingresos
201;Tecnologia Institucional;Tecnologia institucional
202;Tecnologia Institucional;Tecnologia institucional
203;Tecnologia Institucional;Tecnologia institucional
204;Tecnologia Institucional;Tecnologia institucional
205;Tecnologia Institucional;Tecnologia institucional
206;Tecnologia Institucional;Tecnologia institucional
207;Tecnologia Institucional;Tecnologia institucional
208;Outsourcing de proveeduria;Outsourcing de proveeduria
209;Tecnologia Institucional;Tecnologia institucional
211;Tecnologia Institucional;Tecnologia institucional
212;Tecnologia Institucional;Tecnologia institucional
213;Tecnologia Institucional;Tecnologia institucional
214;Tecnologia Institucional;Tecnologia institucional
215;Tecnologia Institucional;Tecnologia institucional
216;Tecnologia Institucional;Tecnologia institucional
217;Tecnologia Institucional;Tecnologia institucional
218;Tecnologia Institucional;Tecnologia institucional
219;Tecnologia Institucional;Tecnologia institucional
220;Tecnologia Institucional;Tecnologia institucional
221;Tecnologia Institucional;Tecnologia institucional
222;Tecnologia Institucional;Tecnologia institucional
223;Comunicacion visual;Tintas
224;Comunicacion visual;Tintas
225;Comunicacion visual;Tintas
226;Comunicacion visual;Tintas
