Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona;Cluster;Letra cluster
10;Artes graficas;1010197660-1;14;2856;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1010208977-1;1;1732;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1012348815-1;2;78;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1013637504-1;4;150;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1013642113-1;24;5571;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1014220703-1;6;9553;5;10-Artes graficas;Cluster 0;E
10;Artes graficas;1031126565-1;6;217;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1077871537-1;20;22599;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;1122476-1;23;3899;5;10-Artes graficas;Cluster 0;E
10;Artes graficas;14317512-1;3;574;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;16588331-1;24;13745;9;10-Artes graficas;Cluster 0;E
10;Artes graficas;17098754-2;24;33144;8;10-Artes graficas;Cluster 0;E
10;Artes graficas;17172243-1;24;34298;14;10-Artes graficas;Cluster 0;E
10;Artes graficas;19069548-1;23;5910;6;10-Artes graficas;Cluster 0;E
10;Artes graficas;19119820-1;18;1555;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;19149566-1;24;83541;13;10-Artes graficas;Cluster 0;E
10;Artes graficas;19173449-1;15;1279;2;10-Artes graficas;Cluster 0;E
10;Artes graficas;19299114-1;23;2363;3;10-Artes graficas;Cluster 0;E
10;Artes graficas;19322486-1;23;41430;16;10-Artes graficas;Cluster 0;E
10;Artes graficas;19362575-1;22;8514;4;10-Artes graficas;Cluster 0;E
10;Artes graficas;19408288-1;1;1145;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;19438165-1;15;10136;5;10-Artes graficas;Cluster 0;E
10;Artes graficas;19447793-1;24;135939;21;10-Artes graficas;Cluster 0;E
10;Artes graficas;23588105-1;16;19284;3;10-Artes graficas;Cluster 0;E
10;Artes graficas;39667748-1;10;1581;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;39796216-1;24;7129;8;10-Artes graficas;Cluster 0;E
10;Artes graficas;41648614-1;22;5336;6;10-Artes graficas;Cluster 0;E
10;Artes graficas;41703985-1;24;42260;18;10-Artes graficas;Cluster 0;E
10;Artes graficas;41722528-1;24;365;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;41749774-1;15;3729;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;46452627-1;19;2458;2;10-Artes graficas;Cluster 0;E
10;Artes graficas;46669301-1;3;698;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;51889297-1;23;11550;1;10-Artes graficas;Cluster 0;E
10;Artes graficas;51941997-1;21;111295;10;10-Artes graficas;Cluster 0;E
10;Artes graficas;52019897-1;24;48281;11;10-Artes graficas;Cluster 0;E
