Distrito-zona;Normalizado;Silhouette;Calinski-Harabasz;Davies-Bouldin;Tipo zona
10-Artes graficas;No;0,7879;2145,6275;0,3916;Artes graficas
10-Institucional;No;0,9437;14522,0512;0,1813;Institucional
10-Mayorista;No;0,7714;1562,0306;0,3874;Mayorista
10-TIG;No;0,8988;6948,7171;0,2565;TIG
10-V Horeca;No;0,7163;2724,1594;0,2083;V Horeca
10-V Industria;No;0,7624;2299,1277;0,3791;V Industria
10-V SyE;No;0,7944;2088,844;0,3768;V SyE
15-Artes graficas;No;0,7556;7519,3514;0,308;Artes graficas
15-Institucional;No;0,7994;2170,1978;0,4893;Institucional
15-Mayorista;No;0,8133;1421,9375;0,3579;Mayorista
17-Artes graficas;No;0,7651;1303,2317;0,3937;Artes graficas
17-Institucional;No;0,8339;2011,5142;0,2699;Institucional
17-Mayorista;No;0,8082;2337,6025;0,3679;Mayorista
20-Artes graficas;No;0,8686;3446,2949;0,3587;Artes graficas
20-Institucional;No;0,7903;4751,7323;0,3886;Institucional
20-Mayorista;No;0,811;1739,7984;0,3228;Mayorista
20-V Horeca;No;0,8151;971,3879;0,331;V Horeca
20-V SyE;No;0,7492;528,5211;0,2589;V SyE
25-Artes graficas;No;0,7339;1372,1996;0,3757;Artes graficas
25-Institucional;No;0,774;2211,8203;0,4543;Institucional
25-Mayorista;No;0,8441;2371,4805;0,2842;Mayorista
40-Artes graficas;No;0,7942;3273,5383;0,4969;Artes graficas
40-Institucional;No;0,864;90015,1864;0,4159;Institucional
40-Mayorista;No;0,7252;1142,6142;0,4291;Mayorista
40-V Horeca;No;0,7189;759,2804;0,4501;V Horeca
40-V Industria;No;0,7946;1402,835;0,3821;V Industria
45-Institucional;No;0,7308;831,7372;0,3106;Institucional
45-Mayorista;No;0,8804;1787,0895;0,2983;Mayorista
50-Artes graficas;No;0,8018;1615,8614;0,4706;Artes graficas
50-Institucional;No;0,8441;2508,9067;0,3768;Institucional
50-Mayorista;No;0,8444;2012,7218;0,1904;Mayorista
50-V Horeca;No;0,6916;2418,9837;0,3409;V Horeca
50-V Industria;No;0,7273;847,6934;0,4025;V Industria
50-V SyE;No;0,7948;2096,2325;0,2596;V SyE
52-Artes graficas;No;0,7815;612,2028;0,2922;Artes graficas
52-Institucional;No;0,8161;2254,5877;0,3737;Institucional
52-Mayorista;No;0,7841;822,6952;0,4193;Mayorista
53-Artes graficas;No;0,7487;980,4273;0,29;Artes graficas
53-Institucional;No;0,7108;1550,1162;0,3103;Institucional
53-Mayorista;No;0,6861;314,8724;0,4535;Mayorista
55-Artes graficas;No;0,7318;3930,4265;0,25;Artes graficas
55-Institucional;No;0,8028;1734,1082;0,4472;Institucional
55-Mayorista;No;0,8139;5967,4824;0,2414;Mayorista
60-Artes graficas;No;0,8;1574,9121;0,3797;Artes graficas
60-Institucional;No;0,8887;22329,3364;0,2837;Institucional
60-Mayorista;No;0,849;2573,6011;0,2404;Mayorista
60-V Horeca;No;0,7224;1493,8265;0,3678;V Horeca
60-V SyE;No;0,808;5414,7811;0,1653;V SyE
65-Institucional;No;0,7706;1917,7702;0,2934;Institucional
65-Mayorista;No;0,8269;1385,5559;0,2997;Mayorista
65-V SyE;No;0,6748;3457,346;0,2768;V SyE
70-Artes graficas;No;0,7833;787,273;0,2732;Artes graficas
70-Institucional;No;0,8221;3818,8845;0,4383;Institucional
70-Mayorista;No;0,648;348,7435;0,4506;Mayorista
70-TIG;No;0,6833;898,6777;0,416;TIG
70-V Horeca;No;0,8368;1517,613;0,2018;V Horeca
71-Artes graficas;No;0,9201;1920,1653;0,1476;Artes graficas
71-Institucional;No;0,8544;20053,4095;0,1709;Institucional
71-Mayorista;No;0,5286;1211,7376;0,2384;Mayorista
71-TIG;No;0,5572;233,6877;0,459;TIG
71-V Industria;No;0,8565;981,4906;0,3765;V Industria
75-Artes graficas;No;0,7136;761,8513;0,4243;Artes graficas
75-Institucional;No;0,8705;2290,0138;0,3489;Institucional
75-Mayorista;No;0,8336;3058,41;0,3456;Mayorista
90-Artes graficas;No;0,795;4075,258;0,4179;Artes graficas
90-Institucional;No;0,83;4233,8617;0,3623;Institucional
90-Mayorista;No;0,7761;3284,4376;0,3529;Mayorista
10-Artes graficas;Si;0,481;1053,1711;0,6718;Artes graficas
10-Institucional;Si;0,5446;2981,0469;0,6314;Institucional
10-Mayorista;Si;0,564;387,4235;0,5124;Mayorista
10-TIG;Si;0,4885;551,9559;0,6326;TIG
10-V Horeca;Si;0,5151;136,1764;0,6056;V Horeca
10-V Industria;Si;0,5476;131,3146;0,4771;V Industria
10-V SyE;Si;0,5077;446,2931;0,6559;V SyE
15-Artes graficas;Si;0,5053;233,6437;0,6525;Artes graficas
15-Institucional;Si;0,4791;758,7411;0,6804;Institucional
15-Mayorista;Si;0,4644;234,4928;0,6698;Mayorista
17-Artes graficas;Si;0,4467;129,231;0,7658;Artes graficas
17-Institucional;Si;0,5176;282,2339;0,5234;Institucional
17-Mayorista;Si;0,496;265,3044;0,6624;Mayorista
20-Artes graficas;Si;0,4874;909,4259;0,6865;Artes graficas
20-Institucional;Si;0,5176;1784,1606;0,6783;Institucional
20-Mayorista;Si;0,4832;603,5272;0,7019;Mayorista
20-V Horeca;Si;0,4805;122,5874;0,7076;V Horeca
20-V SyE;Si;0,4744;91,3146;0,6311;V SyE
25-Artes graficas;Si;0,521;130,5675;0,6095;Artes graficas
25-Institucional;Si;0,5028;367,7197;0,63;Institucional
25-Mayorista;Si;0,491;192,341;0,6134;Mayorista
40-Artes graficas;Si;0,4899;1653,2029;0,6834;Artes graficas
40-Institucional;Si;0,5182;3202,6607;0,6744;Institucional
40-Mayorista;Si;0,5145;290,782;0,6317;Mayorista
40-V Horeca;Si;0,4751;79,5732;0,7169;V Horeca
40-V Industria;Si;0,4991;189,3257;0,7366;V Industria
45-Institucional;Si;0,4901;203,0673;0,6766;Institucional
45-Mayorista;Si;0,4882;536,6021;0,6699;Mayorista
50-Artes graficas;Si;0,5293;320,4697;0,6172;Artes graficas
50-Institucional;Si;0,5715;694,6943;0,5448;Institucional
50-Mayorista;Si;0,4843;211,6395;0,756;Mayorista
50-V Horeca;Si;0,5776;122,3551;0,4319;V Horeca
50-V Industria;Si;0,5173;155,5087;0,6559;V Industria
50-V SyE;Si;0,5204;134,3461;0,5812;V SyE
52-Artes graficas;Si;0,515;61,5574;0,6739;Artes graficas
52-Institucional;Si;0,468;332,5382;0,7267;Institucional
52-Mayorista;Si;0,4559;123,8636;0,746;Mayorista
53-Artes graficas;Si;0,583;78,6936;0,4867;Artes graficas
53-Institucional;Si;0,4673;138,1169;0,6674;Institucional
53-Mayorista;Si;0,4938;97,5761;0,6412;Mayorista
