Fecha;Precio_papel
2018-01-01;308,87
2018-02-01;306,88
2018-03-01;300,91
2018-04-01;315,19
2018-05-01;296,88
2018-06-01;291,38
2018-07-01;301,19
2018-08-01;306,56
2018-09-01;317,18
2018-10-01;306,14
2018-11-01;291,88
2018-12-01;257,47
2019-01-01;288,02
2019-02-01;298,65
2019-03-01;314,58
2019-04-01;298,71
2019-05-01;260,46
2019-06-01;273,23
2019-07-01;257,95
2019-08-01;237,38
2019-09-01;241,67
2019-10-01;253,7
2019-11-01;266,35
2019-12-01;263,55
2020-01-01;245,59
2020-02-01;222,74
2020-03-01;239,37
2020-04-01;239,37
2020-05-01;236,86
2020-06-01;231,26
2020-07-01;208,01
2020-08-01;212,77
2020-09-01;213,78
2020-10-01;206,08
2020-11-01;209,57
2020-12-01;239,55
2021-01-01;250,84
2021-02-01;263,97
2021-03-01;281,55
2021-04-01;277,63
2021-05-01;276,55
2021-06-01;273,91
2021-07-01;277,68
2021-08-01;266,05
2021-09-01;272,05
2021-10-01;277,43
2021-11-01;263,53
2021-12-01;272,72
2022-01-01;282,34
2022-02-01;274,92
2022-03-01;264,65
2022-04-01;260,7
2022-05-01;237,61
2022-06-01;256,47
2022-07-01;257,35
2022-08-01;268,77
2022-09-01;269,4
2022-10-01;266,07
2022-11-01;274,28
2022-12-01;278,03
2023-01-01;288,09
2023-02-01;286,19
2023-03-01;286,96
