Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona
101;Artes graficas;1870226282-1;14;2856;1;101-Artes graficas
101;Artes graficas;1870237599-1;1;1732;1;101-Artes graficas
101;Artes graficas;1872377437-1;2;78;1;101-Artes graficas
101;Artes graficas;1873666126-1;4;150;1;101-Artes graficas
101;Artes graficas;1873670735-1;24;5571;1;101-Artes graficas
101;Artes graficas;1874249325-1;6;9553;5;101-Artes graficas
101;Artes graficas;1891155187-1;6;217;1;101-Artes graficas
101;Artes graficas;1937900159-1;20;22599;1;101-Artes graficas
101;Artes graficas;861151098-1;23;3899;5;101-Artes graficas
101;Artes graficas;874346134-1;3;574;1;101-Artes graficas
101;Artes graficas;876616953-1;24;13745;9;101-Artes graficas
101;Artes graficas;877127376-2;24;33144;8;101-Artes graficas
101;Artes graficas;877200865-1;24;34298;14;101-Artes graficas
101;Artes graficas;879098170-1;23;5910;6;101-Artes graficas
101;Artes graficas;879148442-1;18;1555;1;101-Artes graficas
101;Artes graficas;879178188-1;24;83541;13;101-Artes graficas
101;Artes graficas;879202071-1;15;1279;2;101-Artes graficas
101;Artes graficas;879327736-1;23;2363;3;101-Artes graficas
101;Artes graficas;879351108-1;23;41430;16;101-Artes graficas
101;Artes graficas;879391197-1;22;8514;4;101-Artes graficas
101;Artes graficas;879436910-1;1;1145;1;101-Artes graficas
101;Artes graficas;879466787-1;15;10136;5;101-Artes graficas
101;Artes graficas;879476415-1;24;135939;21;101-Artes graficas
101;Artes graficas;879481869-1;23;344112;14;101-Artes graficas
101;Artes graficas;883616727-1;16;19284;3;101-Artes graficas
101;Artes graficas;899696370-1;10;1581;1;101-Artes graficas
101;Artes graficas;899824838-1;24;7129;8;101-Artes graficas
101;Artes graficas;901677236-1;22;5336;6;101-Artes graficas
101;Artes graficas;901732607-1;24;42260;18;101-Artes graficas
101;Artes graficas;901751150-1;24;365;1;101-Artes graficas
101;Artes graficas;901778396-1;15;3729;1;101-Artes graficas
101;Artes graficas;906481249-1;19;2458;2;101-Artes graficas
101;Artes graficas;906697923-1;3;698;1;101-Artes graficas
101;Artes graficas;911917919-1;23;11550;1;101-Artes graficas
101;Artes graficas;911970619-1;21;111295;10;101-Artes graficas
101;Artes graficas;912048519-1;24;48281;11;101-Artes graficas
101;Artes graficas;912142628-1;23;57103;16;101-Artes graficas
101;Artes graficas;912284549-1;12;594;1;101-Artes graficas
101;Artes graficas;912408872-1;10;1716;1;101-Artes graficas
101;Artes graficas;912465514-1;24;4079;4;101-Artes graficas
101;Artes graficas;912510785-1;23;452;2;101-Artes graficas
