iter	RMSE
0	0.9956970424
1	0.991427911
2	0.9881210862
3	0.9829796305
4	0.9796570397
5	0.9773857708
6	0.9732084946
7	0.9699860314
8	0.9668563684
9	0.9627084042
10	0.9580580421
11	0.9550577834
12	0.9517230227
13	0.9480391434
14	0.9449900998
15	0.9429137072
16	0.9395629106
17	0.9354974985
18	0.9332379011
19	0.9310538192
20	0.9280306251
21	0.9260733649
22	0.9237240594
23	0.9206570798
24	0.914926679
25	0.9119308501
26	0.909765287
27	0.9062485039
28	0.9029880971
29	0.89936569
30	0.8953603012
31	0.8929429841
32	0.8898839981
33	0.8867404819
34	0.8851063725
35	0.8822995064
36	0.8793160238
37	0.8767498377
38	0.8724892348
39	0.8716768767
40	0.8696646364
41	0.8658971386
42	0.8625688775
43	0.8595812565
44	0.8579988024
45	0.8551541779
46	0.8520979368
47	0.8494191256
48	0.8458049715
49	0.8436111862
50	0.8418843997
51	0.8390734229
52	0.8359261125
53	0.833600574
54	0.8310694195
55	0.829411312
56	0.8261188417
57	0.8231262894
58	0.8213186758
59	0.8210540404
60	0.8181974848
61	0.8156739558
62	0.8106724312
63	0.8093366982
64	0.8069575423
65	0.8034404593
66	0.8012836589
67	0.7994691159
68	0.7966472225
69	0.7937735297
70	0.7906468814
71	0.7888877436
72	0.7856417206
73	0.7809212459
74	0.7800760034
75	0.7774845181
76	0.7740761371
77	0.7725941494
78	0.7725268957
79	0.7701802156
80	0.7678658445
81	0.7649329291
82	0.7633431841
83	0.7594563338
84	0.7566739014
85	0.7521562231
86	0.7495408592
87	0.7479971673
88	0.7445968408
89	0.7432849465
90	0.7405819971
91	0.7384520316
92	0.7356835771
93	0.732889757
94	0.7289607112
95	0.7260509907
96	0.7245734721
97	0.7225450367
98	0.7186619849
99	0.7157877509
100	0.7124597888
101	0.7084048948
102	0.7055752925
103	0.7016693259
104	0.6989825992
105	0.6975733173
106	0.694618807
107	0.6919731597
108	0.6891561562
109	0.6867593701
110	0.6848596949
111	0.6821791932
112	0.679642636
113	0.6772861936
114	0.6753832032
115	0.671376935
116	0.6692344472
117	0.6673737848
118	0.6655195662
119	0.6634194697
120	0.6610912991
121	0.6585456323
122	0.6565807035
123	0.6538896128
124	0.6518590645
125	0.6500834182
126	0.6482912582
127	0.6458245667
128	0.6438144275
129	0.6409096482
130	0.6378428209
131	0.636125853
132	0.6340392194
133	0.6323861154
134	0.6299488944
135	0.627242284
136	0.6248719221
137	0.6232148581
138	0.6196888144
139	0.6180338724
140	0.6155451162
141	0.6130722741
142	0.6094728719
143	0.6073584307
144	0.6051842814
145	0.6024843847
146	0.6008894383
147	0.5983983083
148	0.5962382192
149	0.5928228444
150	0.5905690395
151	0.587948952
152	0.5845421886
153	0.5824848334
154	0.5786374501
155	0.576610312
156	0.5740594638
157	0.5713632955
158	0.5691025246
159	0.5668910212
160	0.5648058316
161	0.5630334546
162	0.5603486827
163	0.558237585
164	0.5568464876
165	0.5553056105
166	0.5534898788
167	0.550842579
168	0.5481779689
169	0.5457779913
170	0.5448658486
171	0.5430101306
172	0.5413006715
173	0.5400045865
174	0.5380583791
175	0.5350405115
176	0.5325476018
177	0.5295686059
178	0.5271115252
179	0.5250589284
180	0.5226933169
181	0.5208654948
182	0.518682439
183	0.5165304565
184	0.5136581949
185	0.5113946903
186	0.5091957898
187	0.5070223823
188	0.5049282426
189	0.5026867668
190	0.5007894672
191	0.4986236064
192	0.4963641834
193	0.4945323586
194	0.4919970122
195	0.4901567992
196	0.487942721
197	0.4857430452
198	0.4835373476
199	0.4813639663
200	0.4796757926
201	0.4776248938
202	0.4765182118
203	0.4744120115
204	0.4718172995
205	0.4698118852
206	0.4677536989
207	0.4658452815
208	0.4638799219
209	0.4617165224
210	0.4596570478
211	0.4578427615
212	0.456005835
213	0.4543217702
214	0.4524283761
215	0.4504232682
216	0.4484297276
217	0.4466957903
218	0.4448372278
219	0.4428950328
220	0.4409530669
221	0.4391537256
222	0.4373376675
223	0.4353793726
224	0.4341475602
225	0.4322549549
226	0.4304113341
227	0.4286675291
228	0.4268776564
229	0.4250076408
230	0.4234826434
231	0.422065385
232	0.4202254177
233	0.4183859905
234	0.4166191631
235	0.4151420898
236	0.4134555232
237	0.4116807533
238	0.4099515635
239	0.4082340835
240	0.4065282325
241	0.4045818656
242	0.4028332152
243	0.4011663004
244	0.3994997305
245	0.3978356752
246	0.3961450112
247	0.3944380208
248	0.3928864473
249	0.3913354009
250	0.3896832881
251	0.3878899328
252	0.386109256
253	0.3844568717
254	0.3828888484
255	0.3808024146
256	0.3791773803
257	0.3775648499
258	0.3760669462
259	0.3744712413
260	0.3728854972
261	0.3713484718
262	0.3697793565
263	0.3682320645
264	0.3665725312
265	0.3646498365
266	0.3631151203
267	0.3615900275
268	0.360143608
269	0.358721678
270	0.3572382695
271	0.3557559457
272	0.3538949754
273	0.3524173596
274	0.3510455541
275	0.3495840813
276	0.3481173086
