iter	Passed	Remaining
0	133	133487
1	134	67336
2	136	45392
3	137	34302
4	139	27675
5	139	23186
6	141	20034
7	144	17885
8	148	16380
9	150	14914
10	152	13755
11	154	12705
12	158	12030
13	161	11348
14	162	10686
15	163	10071
16	164	9524
17	165	9034
18	166	8600
19	167	8206
20	168	7846
21	169	7518
22	170	7225
23	171	6957
24	173	6757
25	174	6535
26	175	6333
27	177	6154
28	178	5974
29	179	5814
30	181	5669
31	182	5523
32	184	5399
33	185	5274
34	187	5166
35	190	5094
36	191	4986
37	193	4889
38	194	4787
39	195	4689
40	196	4607
41	198	4523
42	199	4441
43	201	4372
44	203	4310
45	205	4262
46	207	4198
47	208	4131
48	209	4062
49	210	3995
50	211	3932
51	212	3870
52	213	3811
53	214	3756
54	215	3702
55	216	3651
56	217	3603
57	219	3560
58	220	3517
59	222	3488
60	224	3453
61	225	3414
62	227	3376
63	228	3339
64	229	3303
65	230	3268
66	232	3234
67	233	3200
68	235	3175
69	237	3150
70	238	3120
71	239	3089
72	240	3059
73	241	3027
74	243	2997
75	244	2967
76	245	2936
77	246	2909
78	247	2881
79	248	2860
80	250	2838
81	253	2837
82	254	2812
83	255	2786
84	256	2761
85	257	2737
86	258	2715
87	259	2691
88	260	2669
89	261	2646
90	263	2635
91	265	2622
92	269	2625
93	270	2608
94	272	2592
95	273	2573
96	274	2552
97	275	2532
98	276	2512
99	277	2493
100	278	2476
101	279	2458
102	280	2440
103	281	2425
104	284	2422
105	285	2408
106	286	2393
107	288	2378
108	289	2362
109	289	2345
110	290	2328
111	291	2312
112	292	2298
113	293	2282
114	294	2268
115	295	2254
116	296	2241
117	299	2240
118	301	2228
119	302	2217
120	303	2205
121	304	2192
122	305	2179
123	307	2169
124	308	2159
125	309	2149
126	311	2139
127	312	2131
128	318	2147
129	319	2140
130	321	2129
131	322	2122
132	324	2116
133	326	2111
134	328	2102
135	331	2106
136	333	2102
137	335	2096
138	338	2095
139	340	2093
140	342	2087
141	344	2079
142	346	2077
143	348	2071
144	350	2064
145	351	2055
146	352	2044
147	353	2033
148	354	2023
149	355	2012
150	356	2002
151	357	1992
152	358	1982
153	358	1972
154	360	1964
155	362	1963
156	364	1956
157	365	1950
158	367	1946
159	369	1937
160	370	1929
161	371	1922
162	373	1916
163	374	1908
164	378	1914
165	380	1910
166	382	1906
167	384	1905
168	385	1897
169	387	1892
170	389	1887
171	390	1880
172	394	1887
173	396	1883
174	397	1876
175	399	1871
176	401	1866
177	402	1859
178	403	1851
179	404	1843
180	405	1835
181	406	1828
182	408	1823
183	410	1822
184	413	1821
185	415	1819
186	417	1813
187	418	1808
188	420	1802
189	421	1796
190	422	1790
191	426	1796
192	429	1794
193	430	1788
194	431	1782
195	432	1775
196	433	1768
197	434	1761
198	435	1754
199	437	1748
200	438	1741
201	442	1747
202	443	1743
203	445	1739
204	446	1733
205	447	1726
206	449	1720
207	450	1713
208	450	1706
209	451	1700
210	452	1693
211	453	1686
212	459	1699
213	461	1693
214	463	1691
215	465	1689
216	466	1684
217	468	1682
218	477	1701
219	479	1701
220	480	1694
221	481	1688
222	482	1682
223	484	1678
224	485	1673
225	489	1674
226	491	1672
227	492	1669
228	494	1664
229	495	1658
230	496	1652
231	498	1648
232	499	1643
233	501	1640
234	504	1642
235	506	1640
236	508	1637
237	511	1637
238	512	1631
239	514	1629
240	515	1623
241	518	1624
242	519	1619
243	521	1614
244	523	1613
245	526	1614
246	527	1609
247	530	1607
248	530	1601
249	535	1607
250	537	1604
251	539	1600
252	540	1595
253	541	1591
254	543	1586
255	544	1582
256	545	1576
257	546	1571
258	547	1566
259	549	1562
260	550	1558
261	551	1554
262	553	1550
263	554	1546
264	556	1542
265	557	1537
266	558	1534
267	565	1544
268	568	1544
269	569	1540
270	571	1537
271	572	1532
272	573	1528
273	575	1524
274	581	1532
275	582	1529
276	584	1526
277	585	1521
278	586	1516
279	587	1511
280	588	1506
281	589	1502
282	590	1497
283	594	1500
284	596	1496
285	597	1492
286	599	1489
287	600	1485
288	602	1481
289	603	1477
290	604	1473
291	605	1468
292	606	1463
293	608	1461
294	611	1461
295	614	1460
296	615	1457
297	617	1454
298	619	1451
299	620	1447
300	621	1443
301	625	1446
302	627	1443
303	629	1441
304	630	1437
305	631	1433
306	633	1428
307	633	1424
308	634	1419
309	636	1415
310	637	1411
311	638	1406
312	640	1406
313	642	1402
314	643	1399
315	645	1396
316	646	1393
317	647	1388
318	648	1384
319	649	1380
320	650	1376
321	651	1371
322	652	1367
323	653	1363
324	655	1361
325	657	1359
326	659	1357
327	661	1354
328	662	1350
329	663	1346
330	664	1342
331	665	1338
332	666	1334
333	667	1330
334	668	1327
335	669	1322
336	671	1321
337	673	1319
338	674	1315
339	676	1312
340	677	1309
341	678	1305
342	679	1301
343	680	1298
344	682	1294
345	683	1291
346	684	1287
347	685	1283
348	688	1283
349	689	1280
350	690	1277
351	692	1274
352	693	1271
353	694	1267
354	695	1264
355	696	1260
356	697	1256
357	698	1253
358	699	1249
359	701	1246
360	703	1244
361	704	1241
362	705	1238
363	707	1235
364	709	1233
365	710	1230
366	712	1228
367	713	1225
368	715	1223
369	722	1230
370	725	1229
371	726	1226
372	728	1224
373	729	1221
374	736	1228
375	739	1227
376	741	1225
377	742	1221
378	743	1218
379	744	1215
380	746	1212
381	748	1210
382	751	1210
383	753	1208
384	755	1206
385	756	1203
386	757	1200
387	758	1196
388	759	1193
389	761	1191
390	763	1188
391	766	1188
392	768	1187
393	770	1184
394	771	1181
395	772	1178
396	774	1176
397	775	1173
398	777	1170
399	778	1167
400	779	1163
401	782	1163
402	783	1161
403	785	1158
404	786	1155
405	788	1153
406	789	1150
407	790	1147
408	792	1144
409	793	1141
410	794	1138
411	795	1134
412	797	1133
413	800	1133
414	802	1130
415	806	1131
416	808	1130
417	809	1127
418	811	1125
419	815	1126
420	817	1123
421	818	1121
422	820	1118
423	821	1115
424	822	1112
425	822	1108
426	823	1105
427	824	1102
428	825	1099
429	826	1095
430	829	1095
431	831	1093
432	833	1090
433	834	1088
434	836	1086
435	837	1083
436	838	1080
437	839	1077
438	841	1074
439	842	1072
440	847	1074
441	849	1071
442	850	1069
443	853	1069
444	856	1067
445	857	1065
446	861	1065
447	865	1066
448	866	1063
449	867	1060
450	868	1057
451	869	1054
452	871	1051
453	872	1049
454	873	1045
455	876	1045
456	883	1049
457	885	1048
458	888	1046
459	889	1043
460	895	1047
461	897	1045
462	899	1043
463	900	1040
464	901	1037
465	902	1034
466	903	1031
467	904	1028
468	905	1025
469	907	1023
470	909	1021
471	910	1018
472	912	1016
473	913	1014
474	915	1011
475	916	1008
476	917	1005
477	918	1003
478	919	1000
479	920	997
480	923	996
481	924	993
482	926	991
483	927	988
484	928	985
485	929	982
486	930	980
487	931	977
488	932	974
489	933	971
490	934	968
491	935	966
492	936	963
493	939	962
494	940	959
495	942	957
496	944	955
497	945	953
498	947	951
499	948	948
500	949	945
501	950	942
502	951	940
503	952	937
504	955	937
505	957	934
506	959	933
507	961	930
508	962	928
509	963	925
510	964	923
511	965	920
512	967	918
513	970	917
514	973	916
515	975	914
516	977	913
517	978	910
518	980	908
519	981	906
520	983	904
521	986	903
522	989	902
523	992	901
524	993	899
525	995	896
526	996	894
527	997	892
528	999	889
529	1001	887
530	1003	886
531	1005	884
532	1007	882
533	1009	881
534	1011	879
535	1013	877
536	1015	875
537	1019	875
538	1021	873
539	1022	871
540	1024	868
541	1027	867
542	1028	866
543	1030	864
544	1036	865
545	1039	863
546	1043	864
547	1046	862
548	1047	860
549	1050	859
550	1052	857
551	1054	855
552	1057	855
553	1060	853
554	1061	851
555	1063	848
556	1065	847
557	1067	845
558	1068	842
559	1069	840
560	1070	837
561	1072	835
562	1073	833
563	1075	831
564	1076	829
565	1078	826
566	1081	825
567	1084	824
568	1091	826
569	1093	824
570	1098	825
571	1100	823
572	1101	821
573	1104	819
574	1105	817
575	1107	815
576	1109	813
577	1110	810
578	1112	809
579	1114	806
580	1118	806
581	1120	804
582	1122	802
583	1124	800
584	1125	798
585	1129	798
586	1135	798
587	1137	797
588	1139	795
589	1140	792
590	1142	790
591	1147	790
592	1149	788
593	1151	786
594	1152	784
595	1153	782
596	1154	779
597	1155	776
598	1156	774
599	1157	771
600	1162	771
